VARIANCE_THRESHOLD_RATIO,CORRELATION_THRESHOLD,FEATURE_SELECTION_TOP_K,FEAT_STABILITY_THRESHOLD,FEATURE_SELECTION_SCALE,mean_f1,std_f1,time_s,timestamp,params_hash,fold_details
1e-05,0.9,20,0.6,True,0.4733110343269756,0.1044031752967655,,,,
1e-05,0.9,20,0.6,False,0.4389073175985503,0.116506927720035,,,,
1e-05,0.9,20,0.8,True,0.4819398548051273,0.0984337106171923,,,,
1e-05,0.9,20,0.8,False,0.4389073175985503,0.116506927720035,,,,
1e-05,0.9,20,1.0,True,0.4733110343269756,0.1044031752967655,,,,
1e-05,0.9,20,1.0,False,0.4389073175985503,0.116506927720035,,,,
1e-05,0.9,40,0.6,True,0.5226946717423705,0.0849668134632865,,,,
1e-05,0.9,40,0.6,False,0.4389073175985503,0.116506927720035,,,,
1e-05,0.9,40,0.8,True,0.5167340495770248,0.0902230920768995,,,,
1e-05,0.9,40,0.8,False,0.4389073175985503,0.116506927720035,,,,
1e-05,0.9,40,1.0,True,0.523654772580612,0.0856846019342139,,,,
1e-05,0.9,40,1.0,False,0.4389073175985503,0.116506927720035,,,,
1e-05,0.9,80,0.6,True,0.5089077145087801,0.0952913777113096,,,,
1e-05,0.9,80,0.6,False,0.4389073175985503,0.116506927720035,,,,
1e-05,0.9,80,0.8,True,0.5089077145087801,0.0952913777113096,,,,
1e-05,0.9,80,0.8,False,0.4389073175985503,0.116506927720035,,,,
1e-05,0.9,80,1.0,True,0.5089077145087801,0.0952913777113096,,,,
1e-05,0.9,80,1.0,False,0.4389073175985503,0.116506927720035,,,,
1e-05,0.95,20,0.6,True,0.4741685054664938,0.1146181331422368,,,,
1e-05,0.95,20,0.6,False,0.4521265253192332,0.1128335168264124,,,,
1e-05,0.95,20,0.8,True,0.4741685054664938,0.1146181331422368,,,,
1e-05,0.95,20,0.8,False,0.4521265253192332,0.1128335168264124,,,,
1e-05,0.95,20,1.0,True,0.4742395516337222,0.1145635751116068,,,,
1e-05,0.95,20,1.0,False,0.4521265253192332,0.1128335168264124,,,,
1e-05,0.95,40,0.6,True,0.523597604662162,0.0820664113656842,,,,
1e-05,0.95,40,0.6,False,0.4521265253192332,0.1128335168264124,,,,
1e-05,0.95,40,0.8,True,0.5169509360219307,0.098584892732394,,,,
1e-05,0.95,40,0.8,False,0.4521265253192332,0.1128335168264124,,,,
1e-05,0.95,40,1.0,True,0.5169509360219307,0.098584892732394,,,,
1e-05,0.95,40,1.0,False,0.4521265253192332,0.1128335168264124,,,,
1e-05,0.9,20,0.6,True,0.4768055690088038,0.1052721674673936,67.562909,2025-12-11T16:44:19.554630,d8c3e558d4,"[{""fold"": 1, ""test_idx_count"": 1084, ""score"": 0.5210856408328721, ""n_selected"": 20}, {""fold"": 2, ""test_idx_count"": 1084, ""score"": 0.4091609168474689, ""n_selected"": 20}, {""fold"": 3, ""test_idx_count"": 1079, ""score"": 0.47675268302782897, ""n_selected"": 20}, {""fold"": 4, ""test_idx_count"": 1049, ""score"": 0.6401377251220373, ""n_selected"": 20}, {""fold"": 5, ""test_idx_count"": 875, ""score"": 0.5282079184086453, ""n_selected"": 20}, {""fold"": 6, ""test_idx_count"": 1084, ""score"": 0.5897370355413608, ""n_selected"": 20}, {""fold"": 7, ""test_idx_count"": 1084, ""score"": 0.4613802938832718, ""n_selected"": 20}, {""fold"": 8, ""test_idx_count"": 919, ""score"": 0.2325662923180401, ""n_selected"": 20}, {""fold"": 9, ""test_idx_count"": 959, ""score"": 0.4287451310280427, ""n_selected"": 20}, {""fold"": 10, ""test_idx_count"": 1086, ""score"": 0.4802820530784695, ""n_selected"": 20}]"
0.0001,0.95,40,0.6,True,0.4662400864734493,0.10577709157987168,70.096065,2025-12-11T16:46:10.347749,f41b272ddb,"[{""fold"": 1, ""test_idx_count"": 1084, ""score"": 0.5696694326379892, ""n_selected"": 28}, {""fold"": 2, ""test_idx_count"": 1084, ""score"": 0.49230612001375906, ""n_selected"": 32}, {""fold"": 3, ""test_idx_count"": 1079, ""score"": 0.5089187658528243, ""n_selected"": 40}, {""fold"": 4, ""test_idx_count"": 1049, ""score"": 0.5745303335840196, ""n_selected"": 32}, {""fold"": 5, ""test_idx_count"": 875, ""score"": 0.48979453416432983, ""n_selected"": 32}, {""fold"": 6, ""test_idx_count"": 1084, ""score"": 0.6125046491453696, ""n_selected"": 30}, {""fold"": 7, ""test_idx_count"": 1084, ""score"": 0.38976153902748767, ""n_selected"": 32}, {""fold"": 8, ""test_idx_count"": 919, ""score"": 0.3338552580434607, ""n_selected"": 22}, {""fold"": 9, ""test_idx_count"": 959, ""score"": 0.2664795728432092, ""n_selected"": 29}, {""fold"": 10, ""test_idx_count"": 1086, ""score"": 0.4245806594220438, ""n_selected"": 32}]"
0.0001,0.95,40,0.6,False,0.43574272375105993,0.11337657992906203,27.38963,2025-12-11T16:46:37.742898,08774c80fa,"[{""fold"": 1, ""test_idx_count"": 1084, ""score"": 0.48236455830947983, ""n_selected"": 13}, {""fold"": 2, ""test_idx_count"": 1084, ""score"": 0.2706901114837307, ""n_selected"": 13}, {""fold"": 3, ""test_idx_count"": 1079, ""score"": 0.3514989715768302, ""n_selected"": 13}, {""fold"": 4, ""test_idx_count"": 1049, ""score"": 0.5969581136833532, ""n_selected"": 13}, {""fold"": 5, ""test_idx_count"": 875, ""score"": 0.4261871502372898, ""n_selected"": 13}, {""fold"": 6, ""test_idx_count"": 1084, ""score"": 0.5756079064873073, ""n_selected"": 13}, {""fold"": 7, ""test_idx_count"": 1084, ""score"": 0.4560951228880318, ""n_selected"": 13}, {""fold"": 8, ""test_idx_count"": 919, ""score"": 0.23275015776433813, ""n_selected"": 13}, {""fold"": 9, ""test_idx_count"": 959, ""score"": 0.49618531680643374, ""n_selected"": 13}, {""fold"": 10, ""test_idx_count"": 1086, ""score"": 0.4690898282738044, ""n_selected"": 13}]"
0.0001,0.95,40,0.8,True,0.4662400864734493,0.10577709157987168,68.77007,2025-12-11T16:47:46.516971,027a74923c,"[{""fold"": 1, ""test_idx_count"": 1084, ""score"": 0.5696694326379892, ""n_selected"": 28}, {""fold"": 2, ""test_idx_count"": 1084, ""score"": 0.49230612001375906, ""n_selected"": 32}, {""fold"": 3, ""test_idx_count"": 1079, ""score"": 0.5089187658528243, ""n_selected"": 40}, {""fold"": 4, ""test_idx_count"": 1049, ""score"": 0.5745303335840196, ""n_selected"": 32}, {""fold"": 5, ""test_idx_count"": 875, ""score"": 0.48979453416432983, ""n_selected"": 32}, {""fold"": 6, ""test_idx_count"": 1084, ""score"": 0.6125046491453696, ""n_selected"": 30}, {""fold"": 7, ""test_idx_count"": 1084, ""score"": 0.38976153902748767, ""n_selected"": 32}, {""fold"": 8, ""test_idx_count"": 919, ""score"": 0.3338552580434607, ""n_selected"": 22}, {""fold"": 9, ""test_idx_count"": 959, ""score"": 0.2664795728432092, ""n_selected"": 29}, {""fold"": 10, ""test_idx_count"": 1086, ""score"": 0.4245806594220438, ""n_selected"": 32}]"
